Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
10,19408.0,19320.0,18792.0,18400.0,15712.0,13728.0,12416.0,10048.0,6912.0,4096.0,0.0,4480.0,8064.0,11520.0,14080.0,15616.0,16896.0,20736.0,23552.0,25344.0,26368.0,28416.0,30464.0,32256.0,33792.0,36608.0,40448.0,45312.0,51456.0,54016.0,52992.0,51456.0,51968.0,20736.0
11,23888.0,23800.0,23272.0,22880.0,20192.0,18208.0,16896.0,14528.0,11392.0,8576.0,4480.0,0.0,3584.0,7040.0,9600.0,11136.0,12416.0,16256.0,19072.0,20864.0,21888.0,23936.0,25984.0,27776.0,29312.0,32128.0,35968.0,40832.0,46976.0,49536.0,48512.0,46976.0,47488.0,25216.0
12,27472.0,27384.0,26856.0,26464.0,23776.0,21792.0,20480.0,18112.0,14976.0,12160.0,8064.0,3584.0,0.0,3456.0,6016.0,7552.0,8832.0,12672.0,15488.0,17280.0,18304.0,20352.0,22400.0,24192.0,25728.0,28544.0,32384.0,37248.0,43392.0,45952.0,44928.0,43392.0,43904.0,28800.0
13,30928.0,30840.0,30312.0,29920.0,27232.0,25248.0,23936.0,21568.0,18432.0,15616.0,11520.0,7040.0,3456.0,0.0,2560.0,4096.0,5376.0,9216.0,12032.0,13824.0,14848.0,16896.0,18944.0,20736.0,22272.0,25088.0,28928.0,33792.0,39936.0,42496.0,41472.0,39936.0,40448.0,32256.0
14,33488.0,33400.0,32872.0,32480.0,29792.0,27808.0,26496.0,24128.0,20992.0,18176.0,14080.0,9600.0,6016.0,2560.0,0.0,1536.0,2816.0,6656.0,9472.0,11264.0,12288.0,14336.0,16384.0,18176.0,19712.0,22528.0,26368.0,31232.0,37376.0,39936.0,38912.0,37376.0,37888.0,34816.0
15,35024.0,34936.0,34408.0,34016.0,31328.0,29344.0,28032.0,25664.0,22528.0,19712.0,15616.0,11136.0,7552.0,4096.0,1536.0,0.0,1280.0,5120.0,7936.0,9728.0,10752.0,12800.0,14848.0,16640.0,18176.0,20992.0,24832.0,29696.0,35840.0,38400.0,37376.0,35840.0,36352.0,36352.0
16,36304.0,36216.0,35688.0,35296.0,32608.0,30624.0,29312.0,26944.0,23808.0,20992.0,16896.0,12416.0,8832.0,5376.0,2816.0,1280.0,0.0,3840.0,6656.0,8448.0,9472.0,11520.0,13568.0,15360.0,16896.0,19712.0,23552.0,28416.0,34560.0,37120.0,36096.0,34560.0,35072.0,37632.0
17,40144.0,40056.0,39528.0,39136.0,36448.0,34464.0,33152.0,30784.0,27648.0,24832.0,20736.0,16256.0,12672.0,9216.0,6656.0,5120.0,3840.0,0.0,2816.0,4608.0,5632.0,7680.0,9728.0,11520.0,13056.0,15872.0,19712.0,24576.0,30720.0,33280.0,32256.0,30720.0,31232.0,41472.0
18,42960.0,42872.0,42344.0,41952.0,39264.0,37280.0,35968.0,33600.0,30464.0,27648.0,23552.0,19072.0,15488.0,12032.0,9472.0,7936.0,6656.0,2816.0,0.0,1792.0,2816.0,4864.0,6912.0,8704.0,10240.0,13056.0,16896.0,21760.0,27904.0,30464.0,29440.0,27904.0,28416.0,44288.0
19,44752.0,44664.0,44136.0,43744.0,41056.0,39072.0,37760.0,35392.0,32256.0,29440.0,25344.0,20864.0,17280.0,13824.0,11264.0,9728.0,8448.0,4608.0,1792.0,0.0,1024.0,3072.0,5120.0,6912.0,8448.0,11264.0,15104.0,19968.0,26112.0,28672.0,27648.0,26112.0,26624.0,46080.0
20,45776.0,45688.0,45160.0,44768.0,42080.0,40096.0,38784.0,36416.0,33280.0,30464.0,26368.0,21888.0,18304.0,14848.0,12288.0,10752.0,9472.0,5632.0,2816.0,1024.0,0.0,2048.0,4096.0,5888.0,7424.0,10240.0,14080.0,18944.0,25088.0,27648.0,26624.0,25088.0,25600.0,47104.0
21,47824.0,47736.0,47208.0,46816.0,44128.0,42144.0,40832.0,38464.0,35328.0,32512.0,28416.0,23936.0,20352.0,16896.0,14336.0,12800.0,11520.0,7680.0,4864.0,3072.0,2048.0,0.0,2048.0,3840.0,5376.0,8192.0,12032.0,16896.0,23040.0,25600.0,24576.0,23040.0,23552.0,49152.0
22,49872.0,49784.0,49256.0,48864.0,46176.0,44192.0,42880.0,40512.0,37376.0,34560.0,30464.0,25984.0,22400.0,18944.0,16384.0,14848.0,13568.0,9728.0,6912.0,5120.0,4096.0,2048.0,0.0,1792.0,3328.0,6144.0,9984.0,14848.0,20992.0,23552.0,22528.0,20992.0,21504.0,51200.0
23,51664.0,51576.0,51048.0,50656.0,47968.0,45984.0,44672.0,42304.0,39168.0,36352.0,32256.0,27776.0,24192.0,20736.0,18176.0,16640.0,15360.0,11520.0,8704.0,6912.0,5888.0,3840.0,1792.0,0.0,1536.0,4352.0,8192.0,13056.0,19200.0,21760.0,20736.0,19200.0,19712.0,52992.0
24,53200.0,53112.0,52584.0,52192.0,49504.0,47520.0,46208.0,43840.0,40704.0,37888.0,33792.0,29312.0,25728.0,22272.0,19712.0,18176.0,16896.0,13056.0,10240.0,8448.0,7424.0,5376.0,3328.0,1536.0,0.0,2816.0,6656.0,11520.0,17664.0,20224.0,19200.0,17664.0,18176.0,54528.0
25,56016.0,55928.0,55400.0,55008.0,52320.0,50336.0,49024.0,46656.0,43520.0,40704.0,36608.0,32128.0,28544.0,25088.0,22528.0,20992.0,19712.0,15872.0,13056.0,11264.0,10240.0,8192.0,6144.0,4352.0,2816.0,0.0,3840.0,8704.0,14848.0,17408.0,16384.0,14848.0,15360.0,57344.0
26,59856.0,59768.0,59240.0,58848.0,56160.0,54176.0,52864.0,50496.0,47360.0,44544.0,40448.0,35968.0,32384.0,28928.0,26368.0,24832.0,23552.0,19712.0,16896.0,15104.0,14080.0,12032.0,9984.0,8192.0,6656.0,3840.0,0.0,4864.0,11008.0,13568.0,12544.0,11008.0,11520.0,61184.0
27,64720.0,64632.0,64104.0,63712.0,61024.0,59040.0,57728.0,55360.0,52224.0,49408.0,45312.0,40832.0,37248.0,33792.0,31232.0,29696.0,28416.0,24576.0,21760.0,19968.0,18944.0,16896.0,14848.0,13056.0,11520.0,8704.0,4864.0,0.0,6144.0,8704.0,7680.0,6144.0,6656.0,66048.0
28,70864.0,70776.0,70248.0,69856.0,67168.0,65184.0,63872.0,61504.0,58368.0,55552.0,51456.0,46976.0,43392.0,39936.0,37376.0,35840.0,34560.0,30720.0,27904.0,26112.0,25088.0,23040.0,20992.0,19200.0,17664.0,14848.0,11008.0,6144.0,0.0,2560.0,1536.0,338.5,512.0,72192.0
29,73424.0,73336.0,72808.0,72416.0,69728.0,67744.0,66432.0,64064.0,60928.0,58112.0,54016.0,49536.0,45952.0,42496.0,39936.0,38400.0,37120.0,33280.0,30464.0,28672.0,27648.0,25600.0,23552.0,21760.0,20224.0,17408.0,13568.0,8704.0,2560.0,0.0,1024.0,2560.0,2048.0,74752.0
30,72400.0,72312.0,71784.0,71392.0,68704.0,66720.0,65408.0,63040.0,59904.0,57088.0,52992.0,48512.0,44928.0,41472.0,38912.0,37376.0,36096.0,32256.0,29440.0,27648.0,26624.0,24576.0,22528.0,20736.0,19200.0,16384.0,12544.0,7680.0,1536.0,1024.0,0.0,1536.0,1024.0,73728.0
31,70864.0,70776.0,70248.0,69856.0,67168.0,65184.0,63872.0,61504.0,58368.0,55552.0,51456.0,46976.0,43392.0,39936.0,37376.0,35840.0,34560.0,30720.0,27904.0,26112.0,25088.0,23040.0,20992.0,19200.0,17664.0,14848.0,11008.0,6144.0,338.5,2560.0,1536.0,0.0,512.0,72192.0
32,71376.0,71288.0,70760.0,70368.0,67680.0,65696.0,64384.0,62016.0,58880.0,56064.0,51968.0,47488.0,43904.0,40448.0,37888.0,36352.0,35072.0,31232.0,28416.0,26624.0,25600.0,23552.0,21504.0,19712.0,18176.0,15360.0,11520.0,6656.0,512.0,2048.0,1024.0,512.0,0.0,72704.0
33,1328.0,1416.0,1944.0,2336.0,5024.0,7008.0,8320.0,10688.0,13824.0,16640.0,20736.0,25216.0,28800.0,32256.0,34816.0,36352.0,37632.0,41472.0,44288.0,46080.0,47104.0,49152.0,51200.0,52992.0,54528.0,57344.0,61184.0,66048.0,72192.0,74752.0,73728.0,72192.0,72704.0,0.0
