,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_10,401.6860361328125,393.770875,393.5911875,393.44275,393.224,392.73196875,3.1807314453125,2.787216796875,1.86144140625,1.54787109375,0.0,1.143548828125,2.170005859375,11.0,11.25,11.25,20.0,156.2355,160.9481875,161.62015625,163.13578125,178.666828125,180.498296875,481.8335
Layer_11,401.9360361328125,394.020875,393.8411875,393.69275,393.474,392.98196875,3.5769970703125,3.141056640625,1.977060546875,1.89098046875,1.143548828125,0.0,1.4386533203125,10.75,11.0,11.0,19.75,156.3605,161.0731875,161.74515625,163.26078125,178.791828125,180.623296875,482.0835
Layer_12,401.9360361328125,394.020875,393.8411875,393.69275,393.474,392.98196875,4.129721435546875,3.7395342407226564,2.9890751953125,2.784529296875,2.170005859375,1.4386533203125,0.0,10.75,11.0,11.0,19.75,156.3605,161.0731875,161.74515625,163.26078125,178.791828125,180.623296875,482.0835
Layer_13,412.6860361328125,404.770875,404.5911875,404.44275,404.224,403.73196875,13.0,12.5,12.0,11.5,11.0,10.75,10.75,0.0,1.91943359375,4.155603515625,11.0495390625,151.4855,156.1981875,156.87015625,158.38578125,173.916828125,175.748296875,492.8335
Layer_14,412.9360361328125,405.020875,404.8411875,404.69275,404.474,403.98196875,13.25,12.75,12.25,11.75,11.25,11.0,11.0,1.91943359375,0.0,3.33910546875,10.27377734375,151.3605,156.0731875,156.74515625,158.26078125,173.791828125,175.623296875,493.0835
Layer_15,412.9360361328125,405.020875,404.8411875,404.69275,404.474,403.98196875,13.25,12.75,12.25,11.75,11.25,11.0,11.0,4.155603515625,3.33910546875,0.0,8.75,151.1105,155.8231875,156.49515625,158.01078125,173.541828125,175.373296875,493.0835
Layer_16,421.6860361328125,413.770875,413.5911875,413.44275,413.224,412.73196875,22.0,21.5,21.0,20.5,20.0,19.75,19.75,11.0495390625,10.27377734375,8.75,0.0,151.89575,156.6084375,157.28040625,158.79603125,174.327078125,176.158546875,501.8335
Layer_17,444.6855361328125,436.770375,436.5906875,436.44225,436.2235,435.73146875,154.9855,155.1105,155.4855,155.8605,156.2355,156.3605,156.3605,151.4855,151.3605,151.1105,151.89575,0.0,18.422375,29.1963125,33.06325,55.566,76.7535,524.833
Layer_18,444.9355361328125,437.020375,436.8406875,436.69225,436.4735,435.98146875,159.6981875,159.8231875,160.1981875,160.5731875,160.9481875,161.0731875,161.0731875,156.1981875,156.0731875,155.8231875,156.6084375,18.422375,0.0,10.7739375,14.640875,55.816,77.0035,525.083
Layer_19,443.9355361328125,436.020375,435.8406875,435.69225,435.4735,434.98146875,160.37015625,160.49515625,160.87015625,161.24515625,161.62015625,161.74515625,161.74515625,156.87015625,156.74515625,156.49515625,157.28040625,29.1963125,10.7739375,0.0,4.72069921875,54.816,76.0035,524.083
Layer_20,441.9355361328125,434.020375,433.8406875,433.69225,433.4735,432.98146875,161.88578125,162.01078125,162.38578125,162.76078125,163.13578125,163.26078125,163.26078125,158.38578125,158.26078125,158.01078125,158.79603125,33.06325,14.640875,4.72069921875,0.0,52.816,74.0035,522.083
Layer_21,389.1195361328125,381.204375,381.0246875,380.87625,380.6575,380.16546875,177.416828125,177.541828125,177.916828125,178.291828125,178.666828125,178.791828125,178.791828125,173.916828125,173.791828125,173.541828125,174.327078125,55.566,55.816,54.816,52.816,0.0,21.189375,469.267
Layer_22,367.9320361328125,360.016875,359.8371875,359.68875,359.47,358.97796875,179.248296875,179.373296875,179.748296875,180.123296875,180.498296875,180.623296875,180.623296875,175.748296875,175.623296875,175.373296875,176.158546875,76.7535,77.0035,76.0035,74.0035,21.189375,0.0,448.0795
Layer_23,255.19856591796875,255.19300604248048,255.1860203552246,255.15597009277343,255.17056048583984,255.14624353027344,479.8335,480.3335,480.8335,481.3335,481.8335,482.0835,482.0835,492.8335,493.0835,493.0835,501.8335,524.833,525.083,524.083,522.083,469.267,448.0795,0.0
