Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
12,1.0184951,0.91177094,0.89392674,0.8453013,0.8285166,0.64681053,0.5638349,0.5948291,0.35128707,0.24890241,0.4497491,0.17112029,0.0,0.19692637,0.36871174,0.67890036,1.2945068,2.9662042,3.3168917,5.09713,7.299283,8.928853,22.289145
13,1.0415254,0.9348012,0.916957,0.86833155,0.8515469,0.6698408,0.5868652,0.61785936,0.47566906,0.40522835,0.42671883,0.312917,0.19692637,0.0,0.34768468,0.69410926,1.2714765,2.943174,3.2938614,5.0740995,7.2948728,8.924443,22.438725
14,0.857958,0.82587665,0.78917754,0.72923267,0.68532836,0.6097134,0.56207204,0.5525145,0.53436136,0.4717212,0.65599906,0.3850327,0.36871174,0.34768468,0.0,0.62100804,1.5007567,3.172454,3.5231416,5.30338,7.2040205,8.742803,22.33303
15,1.328125,1.2214009,1.2035567,1.1549312,1.1381465,0.95644045,0.8734648,0.904459,0.78606534,0.73756284,0.756981,0.73145723,0.67890036,0.69410926,0.62100804,0.0,0.9848769,2.6565742,3.0072618,4.7875,7.0051293,8.6347,22.33408
16,2.3130019,2.2062778,2.1884334,2.139808,2.1230233,1.9413173,1.8583417,1.8893359,1.6457939,1.3161932,1.0070835,1.1582596,1.2945068,1.2714765,1.5007567,0.9848769,0.0,1.6716974,2.072289,3.802623,6.3976097,8.02718,22.405735
17,3.9846992,3.8779752,3.8601308,3.8115053,3.7947206,3.6130147,3.530039,3.5610332,3.3174913,2.9878907,2.5164552,2.829957,2.9662042,2.943174,3.172454,2.6565742,1.6716974,0.0,0.6496639,2.3213518,4.974984,6.604555,22.28908
18,4.3353868,4.2286625,4.2108183,4.162193,4.145408,3.9637022,3.8807266,3.9117208,3.6681788,3.3385782,3.0159302,3.1806445,3.3168917,3.2938614,3.5231416,3.0072618,2.072289,0.6496639,0.0,1.7802382,4.3253202,5.954891,22.275
19,6.115625,6.0089006,5.9910564,5.942431,5.9256463,5.7439404,5.660965,5.691959,5.4484167,5.1188164,4.687618,4.9608827,5.09713,5.0740995,5.30338,4.7875,3.802623,2.3213518,1.7802382,0.0,2.6536326,4.283203,21.805925
20,8.016266,7.9095416,7.8916974,7.843072,7.8262873,7.6445813,7.5616055,7.5926,7.3490577,7.3119793,7.3412504,7.355187,7.299283,7.2948728,7.2040205,7.0051293,6.3976097,4.974984,4.3253202,2.6536326,0.0,3.1621718,20.71668
21,9.267528,9.263226,9.210882,9.128276,9.093382,9.069818,9.039518,8.995257,8.975259,8.941549,8.970821,8.984757,8.928853,8.924443,8.742803,8.6347,8.02718,6.604555,5.954891,4.283203,3.1621718,0.0,18.687376
